type,nanoseconds
/obj/machinery/computer/med_data,2
/obj/machinery/atmospherics/unary/cryo_cell,213
/obj/machinery/mineral/ore_redemption,1
/obj/machinery/bot/mulebot,1
/obj/machinery/computer/scan_consolenew,1
/obj/machinery/computer/card,1
/obj/machinery/computer/rdconsole/mommi,1
/obj/machinery/r_n_d/protolathe,0
/obj/machinery/r_n_d/circuit_imprinter,0
/obj/machinery/computer/ordercomp,1
/obj/machinery/computer/merch,1
/obj/machinery/computer/secure_data,1
/obj/machinery/computer/mech_bay_power_console,0
/obj/machinery/disposal/deliveryChute,30
/obj/machinery/chem_dispenser,3
/obj/machinery/computer/rdconsole/core,0
/obj/machinery/computer/borgupload,1
/obj/machinery/computer/aiupload,0
/obj/machinery/mineral/stacking_unit_console,2
/obj/machinery/mineral/processing_unit_console/recycle,0
/obj/machinery/faxmachine,3
/obj/machinery/mineral/stacking_machine,1
/obj/machinery/mineral/processing_unit/recycle,0
/obj/machinery/computer/security/telescreen/entertainment,0
/obj/machinery/computer/communications,3
/obj/machinery/computer/rdconsole/robotics,0
/obj/machinery/sorting_machine,1
/obj/machinery/camera/all,1
/obj/machinery/hydroponics,47
/obj/machinery/vending/shoedispenser,2
/obj/machinery/vending/suitdispenser,0
/obj/machinery/vending/hatdispenser,0
/obj/machinery/computer/security,9
/obj/machinery/vending/boozeomat,2
/obj/machinery/media/jukebox/bar,31
/obj/machinery/vending/dinnerware,0
/obj/machinery/vending/hydronutrients,4
/obj/machinery/vending/hydroseeds,1
/obj/machinery/nuclearbomb,0
/obj/machinery/computer/secure_data/detective_computer,1
/obj/machinery/camera/motion,0
/obj/machinery/vending/autodrobe,3
/obj/machinery/gateway/centerstation,0
/obj/machinery/computer/HolodeckControl,14
/obj/machinery/computer/forensic_scanning,1
/obj/machinery/computer/security/wooden_tv,0
/obj/machinery/bot/secbot/beepsky,9
/obj/machinery/door_timer/cell_2,2
/obj/machinery/door_timer/cell_4,2
/obj/machinery/door_timer/cell_1,1
/obj/machinery/door_timer/cell_3,2
/obj/machinery/computer/prisoner,1
/obj/machinery/vending/security,0
