type,nanoseconds
The Andrex Puppy|/mob/new_player,0
Dr. Explosion|/mob/new_player,0
Dr. Explosion|/mob/living/carbon/human,108
|/mob/living/carbon/slime/pyrite,5
|/mob/living/simple_animal/hostile/alien/drone,19
LykD9|/mob/dead/observer,0
Banon13|/mob/new_player,0
Banon13|/mob/living/carbon/human,38
|/mob/living/simple_animal/hostile/mimic/crate,6
|/mob/living/simple_animal/hostile/carp,35
The Andrex Puppy|/mob/living/carbon/human,13
Cocothegog0|/mob/new_player,0
Cocothegog0|/mob/dead/observer,1
|/mob/living/simple_animal/hostile/mimic,0
|/mob/living/carbon/slime/adamantine,4
|/mob/living/simple_animal/hostile/retaliate/malf_drone,21
MaddoScientisto|/mob/new_player,0
MaddoScientisto|/mob/living/carbon/human,54
Sinon23|/mob/dead/observer,0
Toobs|/mob/living/carbon/human,44
|/mob/living/simple_animal/hostile/hivebot/range,10
konater|/mob/living/simple_animal/hostile/alien/drone,0
@Konater|/mob/living/simple_animal/hostile/alien/drone,0
konater|/mob/dead/observer,0
Rippetoe|/mob/dead/observer,0
|/mob/living/simple_animal/spiderbot,0
Mapos|/mob/living/carbon/human,59
lykd9|/mob/living/simple_animal/mouse,0
|/mob/living/simple_animal/hostile/bear/Hudson,7
konater|/mob/living/simple_animal/hostile/bear/Hudson,0
@Konater|/mob/living/simple_animal/hostile/bear/Hudson,17
Dr. Explosion|/mob/dead/observer,0
|/mob/living/simple_animal/hostile/giant_spider,5
|/mob/living/simple_animal/hostile/tree/festivus,14
The Andrex Puppy|/mob/dead/observer,0
|/mob/living/simple_animal/hostile/scarybat,7
lykd9|/mob/dead/observer,0
|/mob/living/simple_animal/hostile/mushroom,0
Banon13|/mob/dead/observer,0
Seethan|/mob/new_player,0
Fiendir|/mob/dead/observer,0
Seethan|/mob/living/carbon/human,32
@Ch0c0latem00se|/mob/living/carbon/human,1
Ch0c0latem00se|/mob/dead/observer,0
|/mob/living/simple_animal/hostile/asteroid/hivelordbrood,1
Cacabot|/mob/dead/observer,0
|/mob/living/simple_animal/hostile/tree,4
Sarah Johnson|/mob/new_player,0
moapy|/mob/living/silicon/robot/mommi,4
|/mob/living/simple_animal/hostile/retaliate/goat,5
Sarah Johnson|/mob/living/carbon/human,25
Letsgoplaces|/mob/new_player,0
|/mob/living/silicon/robot,0
Shempo|/mob/dead/observer,0
PerverseSuffering|/mob/new_player,0
|/mob/living/carbon/slime/adult/adamantine,0
fiendir|/mob/living/simple_animal/mouse,0
PerverseSuffering|/mob/living/carbon/human,22
fiendir|/mob/dead/observer,0
Letsgoplaces|/mob/living/carbon/human,18
|/mob/living/simple_animal/corgi/Lisa,1
Desmodus|/mob/dead/observer,0
Alsteria|/mob/new_player,0
Alsteria|/mob/dead/observer,0
|/mob/living/simple_animal/hostile/mimic/copy,1
Magikwei|/mob/new_player,0
TristanKerman|/mob/new_player,0
JackMassacre|/mob/dead/observer,0
Curver|/mob/new_player,0
BurnZeZ|/mob/new_player,0
Kharloth|/mob/dead/observer,0
BurnZeZ|/mob/living/carbon/human,10
TristanKerman|/mob/living/carbon/human,8
RFultra|/mob/dead/observer,0
Deusgero|/mob/new_player,0
MegatonThrustman|/mob/new_player,0
Bonerking|/mob/new_player,0
